ranking,hotel_id,hotel_name,location,sparkling_score,review_component,metadata_component,sentiment_score,total_reviews,hotel_stars,distance_to_airport,floors_number,rooms_number,amenities_rate,cleanliness_rate,food_beverage,sleep_quality,internet_quality,last_updated
1,28,"Radisson Blu Hotel, Beirut Verdun","Verdun dunes Center, 1105 Beirut, LebanonExcellentlocation — rated 9.5/10!(score from1220reviews)Real guests • Real stays • Real opinions",84.05,88.49,73.71,75.24,50,4,2.98,8,100,9.0,9.3,0,9.4,8.8,2025-06-18T16:30:00.367906
2,4,"Radisson Blu Hotel, Dubai Waterfront","Al Abraaj Street, Business Bay, Dubai, United Arab EmiratesAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",83.54,82.15,86.78,71.56,50,4,8.7,8,432,8.4,8.6,0,8.7,7.9,2025-06-18T15:15:19.009166
3,15,"Radisson Blu Hotel, Rouen Centre","6-8 Rue du Donjon, 76000 Rouen, FranceExcellentlocation — rated 9.5/10!(score from5543reviews)Real guests • Real stays • Real opinions",83.29,89.34,69.16,76.59,50,4,10.56,8,100,9.1,9.4,0,9.4,8.9,2025-06-18T15:49:22.787016
4,27,Radisson Blu Martinez Beirut,"Phoenicia Street, 11-1267 Beirut, LebanonExcellentlocation — rated 9.1/10!(score from1933reviews)Real guests • Real stays • Real opinions",82.5,86.61,72.89,76.26,50,4,4.35,8,100,8.7,9.0,0,9.0,9.0,2025-06-18T16:26:45.159353
5,23,"Radisson Blu Hotel, Madrid Prado","Moratín, 52, Centro, 28014 Madrid, SpainExcellentlocation — rated 9.6/10!(score from2046reviews)Real guests • Real stays • Real opinions",82.39,87.26,71.02,77.11,50,4,7.46,8,100,8.7,9.1,0,9.1,9.0,2025-06-18T16:14:27.756910
6,3,Radisson Blu Resort Swinoujscie,"Baltic Park Molo 2, 72-600 Świnoujście, PolandExcellentlocation — rated 9.6/10!(score from7046reviews)Real guests • Real stays • Real opinions",82.12,86.39,72.15,73.82,50,4,5.59,8,100,8.9,9.1,0,9.1,8.4,2025-06-18T15:12:04.511467
7,1,Radisson Blu Hotel Milan,"Via Villapizzone 24, 20156 Milan, ItalyAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",82.04,86.92,70.65,76.21,50,4,8.08,8,100,8.9,9.0,0,9.0,8.9,2025-06-18T15:05:57.954323
8,12,Radisson BLU Hotel Nantes,"6, place Aristide Briand, Centre Ville, 44000 Nantes, FranceExcellentlocation — rated 9.1/10!(score from1620reviews)Real guests • Real stays • Real opinions",81.08,84.6,72.89,74.71,50,4,4.35,8,100,8.3,8.8,0,8.9,8.9,2025-06-18T15:40:02.922266
9,14,"Radisson Blu Resort & Spa, Ajaccio Bay","Agosta Plage, 20166 Porticcio, FranceExcellentlocation — rated 9.1/10!(score from1528reviews)Real guests • Real stays • Real opinions",80.99,85.26,71.02,71.1,50,4,7.46,8,100,8.6,9.0,0,9.0,8.9,2025-06-18T15:46:09.573992
10,26,"Radisson Blu Hotel, Port Elizabeth","Corner of Marine Drive & 9th Avenue, Summerstrand, 6001 Port Elizabeth, South AfricaExcellentlocation — rated 9.2/10!(score from2610reviews)Real guests • Real stays • Real opinions",80.35,81.04,78.74,72.95,50,4,3.73,8,173,8.0,8.4,0,8.5,8.3,2025-06-18T16:23:30.583336
11,10,Radisson Blu Hotel Bordeaux,"63 Rue Lucien Faure, 33000 Bordeaux, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",80.33,85.12,69.16,73.85,50,4,10.56,8,100,8.6,8.9,0,9.0,8.5,2025-06-18T15:33:57.057781
12,7,"Radisson Blu Hotel, Lyon","129 rue Servient, 3rd arr., 69003 Lyon, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",80.11,83.36,72.52,72.82,50,4,4.97,8,100,8.3,8.8,0,8.8,8.3,2025-06-18T15:24:18.282559
13,16,"Radisson Blu Grand Hotel & Spa, Malo-Les-Bains","6 RUE MARCEL SAILLY, 59140 Dunkerque, FranceExcellentlocation — rated 9.5/10!(score from2845reviews)Real guests • Real stays • Real opinions",79.87,88.14,60.59,75.36,50,4,24.85,8,100,9.0,9.2,0,9.3,8.9,2025-06-18T15:52:36.315714
14,11,"Radisson Blu Hotel, Montpellier","190 rue d'Argencourt, 34000 Montpellier, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",79.8,81.51,75.82,68.9,50,4,4.97,8,144,8.1,8.6,0,8.7,8.4,2025-06-18T15:36:49.918950
15,18,"Radisson Blu Hotel Amsterdam Airport, Schiphol","Boeing Avenue 2, 1119 PB Schiphol, NetherlandsAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",79.49,82.16,73.26,70.8,50,4,3.73,8,100,8.3,8.5,0,8.6,8.7,2025-06-18T15:58:42.528533
16,17,"Radisson Blu Hotel, Amsterdam City Center","Rusland 17, Amsterdam City Centre, 1012 CK Amsterdam, NetherlandsExcellentlocation — rated 9.3/10!(score from7536reviews)Real guests • Real stays • Real opinions",79.45,84.49,67.67,73.13,50,4,13.05,8,100,8.5,8.8,0,8.8,8.9,2025-06-18T15:55:29.204859
17,24,"Radisson Blu Hotel, Antwerp City Centre","Koningin Astrid Plein 7, Antwerp District, 2018 Antwerp, BelgiumExcellentlocation — rated 9.1/10!(score from8748reviews)Real guests • Real stays • Real opinions",78.6,80.61,73.9,71.04,50,4,2.67,8,100,8.2,8.3,0,8.3,8.5,2025-06-18T16:17:20.879220
18,8,Radisson Blu Hotel Nice,"223 promenade Des Anglais, Fabron, 06200 Nice, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",78.45,80.02,74.79,69.15,50,4,1.18,8,100,8.0,8.3,0,8.4,8.5,2025-06-18T15:27:31.924909
19,25,Radisson Blu GHR Rome,"Via Chelini 41, Villa Borghese Parioli, 00197 Rome, ItalyAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",78.39,82.5,68.79,71.18,50,4,11.18,8,100,8.3,8.6,0,8.6,8.7,2025-06-18T16:20:14.347287
20,29,"Radisson Blu Hotel, Bruges","Frank Van Ackerpromenade 17, Sint-Michiels, 8000 Bruges, BelgiumAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",78.13,83.58,65.43,73.35,50,4,16.78,8,100,8.5,8.8,0,8.8,8.0,2025-06-18T16:32:54.371638
21,22,"Radisson Blu Hotel, London Leicester Square","31-36 Leicester Square, Westminster Borough, London, WC2H 7LH, United KingdomExcellentlocation — rated 9.6/10!(score from3613reviews)Real guests • Real stays • Real opinions",77.59,80.72,70.28,75.06,50,4,8.7,8,100,7.8,8.2,0,8.3,8.9,2025-06-18T16:11:14.395293
22,21,"Radisson Blu Hotel, London Euston Square","130 Tottenham Court Road, Camden, London, W1T 5AY, United KingdomExcellentlocation — rated 9.1/10!(score from10005reviews)Real guests • Real stays • Real opinions",76.84,79.81,69.91,69.73,50,4,9.32,8,100,8.0,8.3,0,8.4,8.2,2025-06-18T16:08:01.104680
23,2,"Radisson Blu Hotel, Istanbul Sisli","19 Mayis Cad. No: 2, Sisli, 34360 Istanbul, TurkeyExcellentlocation — rated 9/10!(score from4746reviews)Real guests • Real stays • Real opinions",76.79,82.62,63.19,69.61,50,4,20.51,8,100,8.5,8.6,0,8.8,8.3,2025-06-18T15:09:11.297499
24,6,"Radisson Blu Hotel Paris, Marne-la-Vallée","Allée De La Mare Houleuse, 77700 Magny-le-Hongre, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",75.87,80.19,65.8,69.21,50,4,16.16,8,100,8.1,8.4,0,8.4,8.2,2025-06-18T15:21:25.661395
25,9,"Radisson Blu Hotel, Paris Boulogne","33 Avenue Edouard Vaillant, 92100 Boulogne-Billancourt, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",75.74,78.4,69.54,69.6,50,4,9.94,8,100,7.8,8.1,0,8.2,8.2,2025-06-18T15:30:45.258141
