id,review_id,category_id,rating_value,created_at
1,1,1,4.6,2025-06-17T10:19:08.332541
2,2,1,4.6,2025-06-17T10:19:08.332556
3,3,1,4.6,2025-06-17T10:19:08.332559
4,4,1,4.6,2025-06-17T10:19:08.332561
5,5,1,4.6,2025-06-17T10:19:08.332564
6,1,2,4.6,2025-06-17T10:19:08.332696
7,2,2,4.6,2025-06-17T10:19:08.332698
8,3,2,4.6,2025-06-17T10:19:08.332701
9,4,2,4.6,2025-06-17T10:19:08.332704
10,5,2,4.6,2025-06-17T10:19:08.332706
11,1,4,4.6,2025-06-17T10:19:08.332831
12,2,4,4.6,2025-06-17T10:19:08.332833
13,3,4,4.6,2025-06-17T10:19:08.332836
14,4,4,4.6,2025-06-17T10:19:08.332838
15,5,4,4.6,2025-06-17T10:19:08.332841
16,1,5,4.6,2025-06-17T10:19:08.332972
17,2,5,4.6,2025-06-17T10:19:08.332975
18,3,5,4.6,2025-06-17T10:19:08.332978
19,4,5,4.6,2025-06-17T10:19:08.332980
20,5,5,4.6,2025-06-17T10:19:08.332983
21,51,1,4.4,2025-06-17T10:19:08.333116
22,52,1,4.4,2025-06-17T10:19:08.333119
23,53,1,4.4,2025-06-17T10:19:08.333122
24,54,1,4.4,2025-06-17T10:19:08.333125
25,55,1,4.4,2025-06-17T10:19:08.333127
26,51,2,4.4,2025-06-17T10:19:08.333251
27,52,2,4.4,2025-06-17T10:19:08.333254
28,53,2,4.4,2025-06-17T10:19:08.333257
29,54,2,4.4,2025-06-17T10:19:08.333260
30,55,2,4.4,2025-06-17T10:19:08.333262
31,51,4,4.5,2025-06-17T10:19:08.333390
32,52,4,4.5,2025-06-17T10:19:08.333393
33,53,4,4.5,2025-06-17T10:19:08.333395
34,54,4,4.5,2025-06-17T10:19:08.333398
35,55,4,4.5,2025-06-17T10:19:08.333400
36,51,5,4.3,2025-06-17T10:19:08.333532
37,52,5,4.3,2025-06-17T10:19:08.333534
38,53,5,4.3,2025-06-17T10:19:08.333537
39,54,5,4.3,2025-06-17T10:19:08.333544
40,55,5,4.3,2025-06-17T10:19:08.333546
41,101,1,4.6,2025-06-17T10:19:08.333680
42,102,1,4.6,2025-06-17T10:19:08.333682
43,103,1,4.6,2025-06-17T10:19:08.333685
44,104,1,4.6,2025-06-17T10:19:08.333688
45,105,1,4.6,2025-06-17T10:19:08.333690
46,101,2,4.6,2025-06-17T10:19:08.333814
47,102,2,4.6,2025-06-17T10:19:08.333817
48,103,2,4.6,2025-06-17T10:19:08.333819
49,104,2,4.6,2025-06-17T10:19:08.333822
50,105,2,4.6,2025-06-17T10:19:08.333824
51,101,4,4.6,2025-06-17T10:19:08.333948
52,102,4,4.6,2025-06-17T10:19:08.333951
53,103,4,4.6,2025-06-17T10:19:08.333953
54,104,4,4.6,2025-06-17T10:19:08.333956
55,105,4,4.6,2025-06-17T10:19:08.333958
56,101,5,4.4,2025-06-17T10:19:08.334082
57,102,5,4.4,2025-06-17T10:19:08.334085
58,103,5,4.4,2025-06-17T10:19:08.334087
59,104,5,4.4,2025-06-17T10:19:08.334090
60,105,5,4.4,2025-06-17T10:19:08.334092
61,151,1,4.4,2025-06-17T10:19:08.334220
62,152,1,4.4,2025-06-17T10:19:08.334222
63,153,1,4.4,2025-06-17T10:19:08.334225
64,154,1,4.4,2025-06-17T10:19:08.334227
65,155,1,4.4,2025-06-17T10:19:08.334230
66,151,2,4.4,2025-06-17T10:19:08.334360
67,152,2,4.4,2025-06-17T10:19:08.334363
68,153,2,4.4,2025-06-17T10:19:08.334365
69,154,2,4.4,2025-06-17T10:19:08.334368
70,155,2,4.4,2025-06-17T10:19:08.334370
71,151,4,4.5,2025-06-17T10:19:08.334503
72,152,4,4.5,2025-06-17T10:19:08.334505
73,153,4,4.5,2025-06-17T10:19:08.334508
74,154,4,4.5,2025-06-17T10:19:08.334511
75,155,4,4.5,2025-06-17T10:19:08.334513
76,151,5,4.2,2025-06-17T10:19:08.334637
77,152,5,4.2,2025-06-17T10:19:08.334640
78,153,5,4.2,2025-06-17T10:19:08.334643
79,154,5,4.2,2025-06-17T10:19:08.334649
80,155,5,4.2,2025-06-17T10:19:08.334652
81,201,1,4.0,2025-06-17T10:19:08.334782
82,202,1,4.0,2025-06-17T10:19:08.334785
83,203,1,4.0,2025-06-17T10:19:08.334787
84,204,1,4.0,2025-06-17T10:19:08.334789
85,205,1,4.0,2025-06-17T10:19:08.334792
86,201,2,4.1,2025-06-17T10:19:08.334925
87,202,2,4.1,2025-06-17T10:19:08.334927
88,203,2,4.1,2025-06-17T10:19:08.334930
89,204,2,4.1,2025-06-17T10:19:08.334937
90,205,2,4.1,2025-06-17T10:19:08.334939
91,201,4,4.1,2025-06-17T10:19:08.335064
92,202,4,4.1,2025-06-17T10:19:08.335066
93,203,4,4.1,2025-06-17T10:19:08.335069
94,204,4,4.1,2025-06-17T10:19:08.335076
95,205,4,4.1,2025-06-17T10:19:08.335078
96,201,5,3.8,2025-06-17T10:19:08.335203
97,202,5,3.8,2025-06-17T10:19:08.335205
98,203,5,3.8,2025-06-17T10:19:08.335208
99,204,5,3.8,2025-06-17T10:19:08.335211
100,205,5,3.8,2025-06-17T10:19:08.335213
101,251,1,4.2,2025-06-17T10:19:08.335339
102,252,1,4.2,2025-06-17T10:19:08.335341
103,253,1,4.2,2025-06-17T10:19:08.335344
