id,review_id,category_id,rating_value,created_at
1,1,1,4.6,2025-06-18T16:33:04.427652
2,2,1,4.6,2025-06-18T16:33:04.427658
3,3,1,4.6,2025-06-18T16:33:04.427661
4,4,1,4.6,2025-06-18T16:33:04.427663
5,5,1,4.6,2025-06-18T16:33:04.427666
6,1,2,4.6,2025-06-18T16:33:04.427789
7,2,2,4.6,2025-06-18T16:33:04.427792
8,3,2,4.6,2025-06-18T16:33:04.427795
9,4,2,4.6,2025-06-18T16:33:04.427797
10,5,2,4.6,2025-06-18T16:33:04.427800
11,1,4,4.6,2025-06-18T16:33:04.427933
12,2,4,4.6,2025-06-18T16:33:04.427936
13,3,4,4.6,2025-06-18T16:33:04.427938
14,4,4,4.6,2025-06-18T16:33:04.427940
15,5,4,4.6,2025-06-18T16:33:04.427943
16,1,5,4.6,2025-06-18T16:33:04.428065
17,2,5,4.6,2025-06-18T16:33:04.428067
18,3,5,4.6,2025-06-18T16:33:04.428070
19,4,5,4.6,2025-06-18T16:33:04.428077
20,5,5,4.6,2025-06-18T16:33:04.428079
21,51,1,4.4,2025-06-18T16:33:04.428211
22,52,1,4.4,2025-06-18T16:33:04.428213
23,53,1,4.4,2025-06-18T16:33:04.428216
24,54,1,4.4,2025-06-18T16:33:04.428221
25,55,1,4.4,2025-06-18T16:33:04.428223
26,51,2,4.4,2025-06-18T16:33:04.428354
27,52,2,4.4,2025-06-18T16:33:04.428356
28,53,2,4.4,2025-06-18T16:33:04.428359
29,54,2,4.4,2025-06-18T16:33:04.428362
30,55,2,4.4,2025-06-18T16:33:04.428364
31,51,4,4.5,2025-06-18T16:33:04.428488
32,52,4,4.5,2025-06-18T16:33:04.428491
33,53,4,4.5,2025-06-18T16:33:04.428493
34,54,4,4.5,2025-06-18T16:33:04.428504
35,55,4,4.5,2025-06-18T16:33:04.428507
36,51,5,4.3,2025-06-18T16:33:04.428632
37,52,5,4.3,2025-06-18T16:33:04.428635
38,53,5,4.3,2025-06-18T16:33:04.428645
39,54,5,4.3,2025-06-18T16:33:04.428648
40,55,5,4.3,2025-06-18T16:33:04.428650
41,101,1,4.6,2025-06-18T16:33:04.428788
42,102,1,4.6,2025-06-18T16:33:04.428791
43,103,1,4.6,2025-06-18T16:33:04.428793
44,104,1,4.6,2025-06-18T16:33:04.428796
45,105,1,4.6,2025-06-18T16:33:04.428798
46,101,2,4.6,2025-06-18T16:33:04.428930
47,102,2,4.6,2025-06-18T16:33:04.428940
48,103,2,4.6,2025-06-18T16:33:04.428948
49,104,2,4.6,2025-06-18T16:33:04.428951
50,105,2,4.6,2025-06-18T16:33:04.428953
51,101,4,4.6,2025-06-18T16:33:04.429075
52,102,4,4.6,2025-06-18T16:33:04.429078
53,103,4,4.6,2025-06-18T16:33:04.429080
54,104,4,4.6,2025-06-18T16:33:04.429082
55,105,4,4.6,2025-06-18T16:33:04.429085
56,101,5,4.4,2025-06-18T16:33:04.429213
