ranking,hotel_id,hotel_name,location,sparkling_score,review_component,metadata_component,sentiment_score,total_reviews,hotel_stars,distance_to_airport,floors_number,rooms_number,amenities_rate,cleanliness_rate,food_beverage,sleep_quality,internet_quality,last_updated
1,28,"Radisson Blu Hotel, Beirut Verdun","Verdun dunes Center, 1105 Beirut, LebanonExcellentlocation — rated 9.5/10!(score from1218reviews)Real guests • Real stays • Real opinions",84.28,88.8,73.71,75.75,49,4,2.98,8,100,9.1,9.3,0,9.4,8.8,2025-06-16T20:50:20.093115
2,4,"Radisson Blu Hotel, Dubai Waterfront","Al Abraaj Street, Business Bay, Dubai, United Arab EmiratesAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",83.55,82.16,86.78,71.6,49,4,8.7,8,432,8.4,8.6,0,8.7,7.9,2025-06-16T19:51:35.651774
3,15,"Radisson Blu Hotel, Rouen Centre","6-8 Rue du Donjon, 76000 Rouen, FranceExcellentlocation — rated 9.5/10!(score from5544reviews)Real guests • Real stays • Real opinions",83.36,89.44,69.16,77.08,49,4,10.56,8,100,9.1,9.4,0,9.4,8.9,2025-06-16T20:19:02.143643
4,27,Radisson Blu Martinez Beirut,"Phoenicia Street, 11-1267 Beirut, LebanonExcellentlocation — rated 9.1/10!(score from1936reviews)Real guests • Real stays • Real opinions",82.48,86.6,72.89,76.18,49,4,4.35,8,100,8.7,9.0,0,9.0,9.0,2025-06-16T20:47:46.801055
5,23,"Radisson Blu Hotel, Madrid Prado","Moratín, 52, Centro, 28014 Madrid, SpainExcellentlocation — rated 9.6/10!(score from2047reviews)Real guests • Real stays • Real opinions",82.43,87.31,71.02,77.36,49,4,7.46,8,100,8.7,9.1,0,9.1,9.0,2025-06-16T20:38:58.095896
6,3,Radisson Blu Resort Swinoujscie,"Baltic Park Molo 2, 72-600 Świnoujście, PolandExcellentlocation — rated 9.6/10!(score from7051reviews)Real guests • Real stays • Real opinions",82.12,86.39,72.15,73.82,50,4,5.59,8,100,8.9,9.1,0,9.1,8.4,2025-06-16T19:49:00.817258
7,1,Radisson Blu Hotel Milan,"Via Villapizzone 24, 20156 Milan, ItalyAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",82.03,86.91,70.65,76.15,49,4,8.08,8,100,8.9,9.0,0,9.0,8.9,2025-06-16T19:44:03.828674
8,12,Radisson BLU Hotel Nantes,"6, place Aristide Briand, Centre Ville, 44000 Nantes, FranceExcellentlocation — rated 9.1/10!(score from1624reviews)Real guests • Real stays • Real opinions",81.16,84.71,72.89,74.75,49,4,4.35,8,100,8.3,8.8,0,8.9,9.0,2025-06-16T20:11:32.356133
9,14,"Radisson Blu Resort & Spa, Ajaccio Bay","Agosta Plage, 20166 Porticcio, FranceExcellentlocation — rated 9.1/10!(score from1526reviews)Real guests • Real stays • Real opinions",80.99,85.26,71.02,71.1,50,4,7.46,8,100,8.6,9.0,0,9.0,8.9,2025-06-16T20:16:29.008033
10,26,"Radisson Blu Hotel, Port Elizabeth","Corner of Marine Drive & 9th Avenue, Summerstrand, 6001 Port Elizabeth, South AfricaExcellentlocation — rated 9.2/10!(score from2610reviews)Real guests • Real stays • Real opinions",80.38,81.08,78.74,73.14,47,4,3.73,8,173,8.0,8.4,0,8.5,8.3,2025-06-16T20:45:13.288111
11,10,Radisson Blu Hotel Bordeaux,"63 Rue Lucien Faure, 33000 Bordeaux, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",80.33,85.11,69.16,73.81,49,4,10.56,8,100,8.6,8.9,0,9.0,8.5,2025-06-16T20:06:36.353421
12,7,"Radisson Blu Hotel, Lyon","129 rue Servient, 3rd arr., 69003 Lyon, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",80.19,83.47,72.52,72.82,50,4,4.97,8,100,8.3,8.8,0,8.8,8.4,2025-06-16T19:58:56.142945
13,16,"Radisson Blu Grand Hotel & Spa, Malo-Les-Bains","6 RUE MARCEL SAILLY, 59140 Dunkerque, FranceExcellentlocation — rated 9.5/10!(score from2838reviews)Real guests • Real stays • Real opinions",80.01,88.34,60.59,75.3,49,4,24.85,8,100,9.1,9.2,0,9.3,8.9,2025-06-16T20:21:35.374703
14,11,"Radisson Blu Hotel, Montpellier","190 rue d'Argencourt, 34000 Montpellier, FranceAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",79.8,81.51,75.82,68.9,50,4,4.97,8,144,8.1,8.6,0,8.7,8.4,2025-06-16T20:08:59.623332
15,18,"Radisson Blu Hotel Amsterdam Airport, Schiphol","Boeing Avenue 2, 1119 PB Schiphol, NetherlandsAfter booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",79.46,82.12,73.26,70.58,49,4,3.73,8,100,8.3,8.5,0,8.6,8.7,2025-06-16T20:26:31.967440
