id,review_id,category_id,rating_value,created_at
1,1,1,4.5,2025-06-16T20:52:53.534748
2,2,1,4.5,2025-06-16T20:52:53.534756
3,3,1,4.5,2025-06-16T20:52:53.534759
4,4,1,4.5,2025-06-16T20:52:53.534761
5,5,1,4.5,2025-06-16T20:52:53.534763
6,1,2,4.5,2025-06-16T20:52:53.534877
7,2,2,4.5,2025-06-16T20:52:53.534880
8,3,2,4.5,2025-06-16T20:52:53.534882
9,4,2,4.5,2025-06-16T20:52:53.534884
10,5,2,4.5,2025-06-16T20:52:53.534886
11,1,4,4.5,2025-06-16T20:52:53.534997
12,2,4,4.5,2025-06-16T20:52:53.535000
13,3,4,4.5,2025-06-16T20:52:53.535002
14,4,4,4.5,2025-06-16T20:52:53.535004
15,5,4,4.5,2025-06-16T20:52:53.535006
16,1,5,4.5,2025-06-16T20:52:53.535118
17,2,5,4.5,2025-06-16T20:52:53.535121
18,3,5,4.5,2025-06-16T20:52:53.535123
19,4,5,4.5,2025-06-16T20:52:53.535125
20,5,5,4.5,2025-06-16T20:52:53.535127
21,50,1,4.3,2025-06-16T20:52:53.535243
22,51,1,4.3,2025-06-16T20:52:53.535245
23,52,1,4.3,2025-06-16T20:52:53.535247
24,53,1,4.3,2025-06-16T20:52:53.535249
25,54,1,4.3,2025-06-16T20:52:53.535251
26,50,2,4.3,2025-06-16T20:52:53.535362
27,51,2,4.3,2025-06-16T20:52:53.535364
28,52,2,4.3,2025-06-16T20:52:53.535366
29,53,2,4.3,2025-06-16T20:52:53.535368
30,54,2,4.3,2025-06-16T20:52:53.535370
31,50,4,4.4,2025-06-16T20:52:53.535481
32,51,4,4.4,2025-06-16T20:52:53.535484
33,52,4,4.4,2025-06-16T20:52:53.535486
34,53,4,4.4,2025-06-16T20:52:53.535489
35,54,4,4.4,2025-06-16T20:52:53.535491
36,50,5,4.1,2025-06-16T20:52:53.535603
37,51,5,4.1,2025-06-16T20:52:53.535605
38,52,5,4.1,2025-06-16T20:52:53.535607
39,53,5,4.1,2025-06-16T20:52:53.535609
40,54,5,4.1,2025-06-16T20:52:53.535612
41,99,1,4.5,2025-06-16T20:52:53.535725
42,100,1,4.5,2025-06-16T20:52:53.535727
43,101,1,4.5,2025-06-16T20:52:53.535729
44,102,1,4.5,2025-06-16T20:52:53.535731
45,103,1,4.5,2025-06-16T20:52:53.535733
46,99,2,4.5,2025-06-16T20:52:53.535844
47,100,2,4.5,2025-06-16T20:52:53.535847
48,101,2,4.5,2025-06-16T20:52:53.535850
49,102,2,4.5,2025-06-16T20:52:53.535852
50,103,2,4.5,2025-06-16T20:52:53.535854
51,99,4,4.5,2025-06-16T20:52:53.535965
52,100,4,4.5,2025-06-16T20:52:53.535967
53,101,4,4.5,2025-06-16T20:52:53.535970
54,102,4,4.5,2025-06-16T20:52:53.535972
55,103,4,4.5,2025-06-16T20:52:53.535974
56,99,5,4.2,2025-06-16T20:52:53.536085
57,100,5,4.2,2025-06-16T20:52:53.536087
58,101,5,4.2,2025-06-16T20:52:53.536089
59,102,5,4.2,2025-06-16T20:52:53.536091
60,103,5,4.2,2025-06-16T20:52:53.536093
61,149,1,4.2,2025-06-16T20:52:53.536209
62,150,1,4.2,2025-06-16T20:52:53.536211
63,151,1,4.2,2025-06-16T20:52:53.536213
64,152,1,4.2,2025-06-16T20:52:53.536215
65,153,1,4.2,2025-06-16T20:52:53.536217
66,149,2,4.3,2025-06-16T20:52:53.536329
67,150,2,4.3,2025-06-16T20:52:53.536331
68,151,2,4.3,2025-06-16T20:52:53.536333
69,152,2,4.3,2025-06-16T20:52:53.536336
70,153,2,4.3,2025-06-16T20:52:53.536338
71,149,4,4.3,2025-06-16T20:52:53.536450
72,150,4,4.3,2025-06-16T20:52:53.536452
73,151,4,4.3,2025-06-16T20:52:53.536454
74,152,4,4.3,2025-06-16T20:52:53.536456
75,153,4,4.3,2025-06-16T20:52:53.536458
76,149,5,4.0,2025-06-16T20:52:53.536572
77,150,5,4.0,2025-06-16T20:52:53.536574
78,151,5,4.0,2025-06-16T20:52:53.536577
79,152,5,4.0,2025-06-16T20:52:53.536580
80,153,5,4.0,2025-06-16T20:52:53.536582
81,198,1,3.8,2025-06-16T20:52:53.536694
82,199,1,3.8,2025-06-16T20:52:53.536696
83,200,1,3.8,2025-06-16T20:52:53.536698
84,201,1,3.8,2025-06-16T20:52:53.536700
85,202,1,3.8,2025-06-16T20:52:53.536713
86,198,2,3.9,2025-06-16T20:52:53.536824
87,199,2,3.9,2025-06-16T20:52:53.536826
88,200,2,3.9,2025-06-16T20:52:53.536828
89,201,2,3.9,2025-06-16T20:52:53.536850
90,202,2,3.9,2025-06-16T20:52:53.536852
91,198,4,3.9,2025-06-16T20:52:53.536972
92,199,4,3.9,2025-06-16T20:52:53.536974
93,200,4,3.9,2025-06-16T20:52:53.536976
94,201,4,3.9,2025-06-16T20:52:53.536978
95,202,4,3.9,2025-06-16T20:52:53.536980
96,198,5,3.5,2025-06-16T20:52:53.537091
97,199,5,3.5,2025-06-16T20:52:53.537094
98,200,5,3.5,2025-06-16T20:52:53.537096
99,201,5,3.5,2025-06-16T20:52:53.537097
100,202,5,3.5,2025-06-16T20:52:53.537099
101,246,1,4.0,2025-06-16T20:52:53.537223
102,247,1,4.0,2025-06-16T20:52:53.537225
103,248,1,4.0,2025-06-16T20:52:53.537227
104,249,1,4.0,2025-06-16T20:52:53.537229
105,250,1,4.0,2025-06-16T20:52:53.537231
106,246,2,4.2,2025-06-16T20:52:53.537342
107,247,2,4.2,2025-06-16T20:52:53.537345
108,248,2,4.2,2025-06-16T20:52:53.537347
109,249,2,4.2,2025-06-16T20:52:53.537349
110,250,2,4.2,2025-06-16T20:52:53.537351
111,246,4,4.2,2025-06-16T20:52:53.537464
112,247,4,4.2,2025-06-16T20:52:53.537467
113,248,4,4.2,2025-06-16T20:52:53.537469
114,249,4,4.2,2025-06-16T20:52:53.537470
115,250,4,4.2,2025-06-16T20:52:53.537472
116,246,5,4.1,2025-06-16T20:52:53.537602
117,247,5,4.1,2025-06-16T20:52:53.537605
118,248,5,4.1,2025-06-16T20:52:53.537607
119,249,5,4.1,2025-06-16T20:52:53.537609
120,250,5,4.1,2025-06-16T20:52:53.537611
121,296,1,4.2,2025-06-16T20:52:53.537743
122,297,1,4.2,2025-06-16T20:52:53.537745
123,298,1,4.2,2025-06-16T20:52:53.537747
124,299,1,4.2,2025-06-16T20:52:53.537749
125,300,1,4.2,2025-06-16T20:52:53.537751
126,296,2,4.4,2025-06-16T20:52:53.537863
127,297,2,4.4,2025-06-16T20:52:53.537865
128,298,2,4.4,2025-06-16T20:52:53.537867
129,299,2,4.4,2025-06-16T20:52:53.537869
130,300,2,4.4,2025-06-16T20:52:53.537873
131,296,4,4.4,2025-06-16T20:52:53.537995
